rank,employer_id,sektor,wilayah,skala,status_A,score_A,status_B,score_B,status_C,score_C,coverage,composite_score,max_module_score,n_flags,band,summary
90,EMP-0421,Perdagangan & Ritel,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.267,ONE_OFF_GAP,0.49,3,0.252,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
91,EMP-0169,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.256,ONE_OFF_GAP,0.49,3,0.249,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
92,EMP-0869,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.251,ONE_OFF_GAP,0.49,3,0.247,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
93,EMP-0186,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.241,ONE_OFF_GAP,0.49,3,0.244,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
94,EMP-0198,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.239,ONE_OFF_GAP,0.49,3,0.243,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
95,EMP-0031,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.224,ONE_OFF_GAP,0.49,3,0.238,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
96,EMP-0423,Perdagangan & Ritel,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.224,ONE_OFF_GAP,0.49,3,0.238,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
97,EMP-0028,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.211,ONE_OFF_GAP,0.49,3,0.234,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
98,EMP-0335,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.213,ONE_OFF_GAP,0.49,3,0.234,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
99,EMP-0139,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.209,ONE_OFF_GAP,0.49,3,0.233,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
100,EMP-0174,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.2,ONE_OFF_GAP,0.49,3,0.23,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
101,EMP-0884,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.2,ONE_OFF_GAP,0.49,3,0.23,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
102,EMP-0995,Perkebunan & Agribisnis,Sulawesi Selatan,Besar,NORMAL,0.0,NORMAL,0.194,ONE_OFF_GAP,0.49,3,0.228,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
103,EMP-0457,Perdagangan & Ritel,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.19,ONE_OFF_GAP,0.49,3,0.227,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
104,EMP-0440,Perdagangan & Ritel,Jawa Timur,Kecil,EXPLAINED_BY_RESIGN,0.0,NORMAL,0.178,ONE_OFF_GAP,0.49,3,0.223,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
105,EMP-0106,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.17,ONE_OFF_GAP,0.49,3,0.22,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
106,EMP-0957,Perkebunan & Agribisnis,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.161,ONE_OFF_GAP,0.49,3,0.217,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
107,EMP-0860,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.157,ONE_OFF_GAP,0.49,3,0.216,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
108,EMP-0203,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.155,ONE_OFF_GAP,0.49,3,0.215,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
109,EMP-0125,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.152,ONE_OFF_GAP,0.49,3,0.214,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
110,EMP-0122,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.148,ONE_OFF_GAP,0.49,3,0.213,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
111,EMP-0283,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NORMAL,0.148,ONE_OFF_GAP,0.49,3,0.213,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
112,EMP-0867,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.139,ONE_OFF_GAP,0.49,3,0.21,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
113,EMP-0185,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.132,ONE_OFF_GAP,0.49,3,0.207,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
114,EMP-0968,Perkebunan & Agribisnis,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.119,ONE_OFF_GAP,0.49,3,0.203,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
115,EMP-0983,Perkebunan & Agribisnis,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.12,ONE_OFF_GAP,0.49,3,0.203,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
116,EMP-0296,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NORMAL,0.117,ONE_OFF_GAP,0.49,3,0.202,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
117,EMP-0974,Perkebunan & Agribisnis,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.111,ONE_OFF_GAP,0.49,3,0.2,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
118,EMP-0460,Perdagangan & Ritel,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.097,ONE_OFF_GAP,0.49,3,0.196,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
119,EMP-0279,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NORMAL,0.086,ONE_OFF_GAP,0.49,3,0.192,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
120,EMP-0854,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.082,ONE_OFF_GAP,0.49,3,0.191,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
121,EMP-1017,Perkebunan & Agribisnis,Sulawesi Selatan,Besar,EXPLAINED_BY_RESIGN,0.0,NORMAL,0.078,ONE_OFF_GAP,0.49,3,0.189,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
122,EMP-0127,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.074,ONE_OFF_GAP,0.49,3,0.188,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
123,EMP-0193,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.074,ONE_OFF_GAP,0.49,3,0.188,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
124,EMP-0115,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.07,ONE_OFF_GAP,0.49,3,0.187,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
125,EMP-0470,Perdagangan & Ritel,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.055,ONE_OFF_GAP,0.49,3,0.182,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
126,EMP-0146,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.048,ONE_OFF_GAP,0.49,3,0.179,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
127,EMP-0921,Perkebunan & Agribisnis,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.044,ONE_OFF_GAP,0.49,3,0.178,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
128,EMP-0874,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.031,ONE_OFF_GAP,0.49,3,0.174,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
129,EMP-1001,Perkebunan & Agribisnis,Sulawesi Selatan,Besar,NORMAL,0.0,NORMAL,0.029,ONE_OFF_GAP,0.49,3,0.173,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
130,EMP-0182,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.019,ONE_OFF_GAP,0.49,3,0.17,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
131,EMP-0197,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.013,ONE_OFF_GAP,0.49,3,0.168,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
132,EMP-0129,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.004,ONE_OFF_GAP,0.49,3,0.165,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
133,EMP-0416,Perdagangan & Ritel,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.004,ONE_OFF_GAP,0.49,3,0.165,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
134,EMP-0116,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.002,ONE_OFF_GAP,0.49,3,0.164,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
135,EMP-0319,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.002,ONE_OFF_GAP,0.49,3,0.164,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
136,EMP-0456,Perdagangan & Ritel,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.002,ONE_OFF_GAP,0.49,3,0.164,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
137,EMP-0868,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.002,ONE_OFF_GAP,0.49,3,0.164,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
138,EMP-0010,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
139,EMP-0015,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
140,EMP-0024,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
141,EMP-0035,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
142,EMP-0043,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
143,EMP-0048,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
144,EMP-0052,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
145,EMP-0053,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
146,EMP-0060,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
147,EMP-0072,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
148,EMP-0073,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
149,EMP-0074,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
150,EMP-0076,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
151,EMP-0078,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
152,EMP-0080,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
153,EMP-0088,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
154,EMP-0090,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
155,EMP-0092,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
156,EMP-0094,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
157,EMP-0099,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
158,EMP-0100,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
159,EMP-0102,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
160,EMP-0108,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
161,EMP-0117,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
162,EMP-0140,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
163,EMP-0143,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
164,EMP-0151,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
165,EMP-0152,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
166,EMP-0162,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
167,EMP-0164,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
168,EMP-0168,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
169,EMP-0179,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
170,EMP-0181,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
171,EMP-0188,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
172,EMP-0192,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
173,EMP-0204,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
174,EMP-0209,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
175,EMP-0213,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
176,EMP-0218,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
177,EMP-0220,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
178,EMP-0228,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
179,EMP-0233,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
180,EMP-0234,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
181,EMP-0239,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
182,EMP-0241,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
183,EMP-0243,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
184,EMP-0244,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
185,EMP-0245,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
186,EMP-0252,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
187,EMP-0264,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
188,EMP-0265,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
189,EMP-0266,Konstruksi,Jawa Timur,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
190,EMP-0277,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
191,EMP-0281,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
192,EMP-0284,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
193,EMP-0288,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
194,EMP-0289,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
195,EMP-0294,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
196,EMP-0298,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
197,EMP-0312,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
198,EMP-0314,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
199,EMP-0318,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
200,EMP-0320,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
201,EMP-0325,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
202,EMP-0329,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
203,EMP-0340,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
204,EMP-0341,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
205,EMP-0346,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
206,EMP-0367,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
207,EMP-0369,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,-0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
208,EMP-0371,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
209,EMP-0376,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
210,EMP-0379,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
211,EMP-0382,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
212,EMP-0386,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
213,EMP-0388,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
214,EMP-0395,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.163,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
